SubjectID,Variable,Baseline,T1,T2,T3
11,MBP,NaN,NaN,78.620689655172413,NaN
11,SBP,NaN,NaN,112.62068965517241,NaN
11,DBP,NaN,NaN,58.344827586206897,NaN
11,SpO2,NaN,NaN,95.965517241379317,NaN
11,HR,NaN,NaN,118.65517241379311,NaN
11,EtCO2,NaN,NaN,22,NaN
12,MBP,64.545454545454547,66.379310344827587,64.58620689655173,71.310344827586206
12,SBP,94.36363636363636,99.724137931034477,95.94736842105263,105.17241379310344
12,DBP,48.636363636363633,47.758620689655174,42,50.655172413793103
12,SpO2,100,95.034482758620683,94.517241379310349,95.103448275862064
12,HR,93.227272727272734,104.48275862068965,108.89655172413794,116.06896551724138
12,EtCO2,30,30,30,30
13,MBP,54.366666666666667,63.96551724137931,64.533333333333331,65.86666666666666
13,SBP,77.233333333333334,85.862068965517238,95.86666666666666,87.799999999999997
13,DBP,33.799999999999997,51.620689655172413,47.178571428571431,50.866666666666667
13,SpO2,100,100,99.733333333333334,100
13,HR,120.26666666666667,120.82758620689656,115.8,117.26666666666667
13,EtCO2,22,22,19,19
14,MBP,31.399999999999999,69.299999999999997,57.633333333333333,67.566666666666663
14,SBP,43.5,89.566666666666663,79.599999999999994,86.566666666666663
14,DBP,18.600000000000001,52.866666666666667,36,51.600000000000001
14,SpO2,98.233333333333334,98,98.400000000000006,99
14,HR,151.73333333333332,145.96666666666667,142.86666666666667,141.03333333333333
14,EtCO2,16,16,16.966666666666665,16
15,MBP,48.600000000000001,58.827586206896555,39.466666666666669,47.5
15,SBP,68.299999999999997,83,54.666666666666664,66.066666666666663
15,DBP,34.966666666666669,41.275862068965516,27.566666666666666,33.333333333333336
15,SpO2,99.033333333333331,98.448275862068968,97.400000000000006,96.799999999999997
15,HR,113.56666666666666,125.06896551724138,110.13333333333334,119.3
15,EtCO2,20,23,20,20
17,MBP,68.86666666666666,77.333333333333329,63.233333333333334,63
17,SBP,93.799999999999997,110.66666666666667,88.230769230769226,92.299999999999997
17,DBP,51.799999999999997,54,40.807692307692307,42.100000000000001
17,SpO2,100,99.566666666666663,99,99.033333333333331
17,HR,135.16666666666666,152.33333333333334,161.53333333333333,171.46666666666667
17,EtCO2,22,22.433333333333334,25.066666666666666,14.5
18,MBP,50.799999999999997,64.599999999999994,62.666666666666664,65.233333333333334
18,SBP,70.066666666666663,93.533333333333331,90.400000000000006,93.166666666666671
18,DBP,37.133333333333333,48.633333333333333,47.466666666666669,48.333333333333336
18,SpO2,97.466666666666669,100,99.700000000000003,100
18,HR,135.13333333333333,138.5,137.19999999999999,145.33333333333334
18,EtCO2,20,20,20,20
20,MBP,54.600000000000001,76.166666666666671,81.566666666666663,70.700000000000003
20,SBP,87.954545454545453,101,107.5,92.700000000000003
20,DBP,44.545454545454547,59.299999999999997,61.766666666666666,53.06666666666667
20,SpO2,99.566666666666663,100,98,99
20,HR,136.63333333333333,145.19999999999999,134.16666666666666,132.30000000000001
20,EtCO2,21,21,21,21
