Device,ExclusionThreshold,ConcordantCount,NIncluded,Concordance,CI95_Lower,CI95_Upper
NIRSIT-X,5,22,24,0.916666666666667,0.741507847985494,0.976841672157027
NIRSIT-X,10,16,16,1,0.80638658172728,1
INVOS,5,22,28,0.785714285714286,0.604610529207261,0.897876782988106
INVOS,10,20,25,0.8,0.608686644634618,0.911395458993475
