Device,NObservations,NSubjects,Bias,BiasCI_Lower,BiasCI_Upper,LoA_Lower,LoA_Upper,LoA_LowerCI_Lower,LoA_LowerCI_Upper,LoA_UpperCI_Lower,LoA_UpperCI_Upper,ValidBootstraps
NIRSIT-X,38,8,-31.2372807017544,-37.8207366707367,-24.4937969924812,-54.5655819975185,-7.90897940599021,-59.3283589215434,-46.8545259441325,-21.8589134238682,0.235355315681307,2000
INVOS,37,8,-48.1522522522523,-56.5375,-39.2649572649573,-76.275134469419,-20.0293700350855,-82.6549205595896,-65.5993390759481,-39.8779828815665,-8.88953343346956,2000
