Device,NObservations,Bias,BiasCI95,LoA_Lower,LoA_Upper,LoA_LowerCI95,LoA_UpperCI95
NIRSIT-X,38,-31.237,"[-37.821, -24.494]",-54.566,-7.909,"[-59.328, -46.855]","[-21.859, 0.235]"
INVOS,37,-48.152,"[-56.538, -39.265]",-76.275,-20.029,"[-82.655, -65.599]","[-39.878, -8.890]"
