Device,Comparison,N_nonzero,SignedRank_W,Z_value,EffectSize_r,Raw_p,HolmBonferroni_p
NIRSIT-X,Baseline vs T1,8,36,2.45049014704902,0.86637910010459,0.0116160448992625,0.0348481346977874
NIRSIT-X,Baseline vs T2,8,36,2.45049014704902,0.86637910010459,0.0117186855997686,0.0348481346977874
NIRSIT-X,Baseline vs T3,7,0,-2.28191648776699,0.862483362749919,0.0179604775260788,0.0348481346977874
INVOS,Baseline vs T1,7,28,2.28191648776699,0.862483362749919,0.0179604775260788,0.0538814325782363
INVOS,Baseline vs T2,8,34.5,2.24044813444482,0.792118034381339,0.0207062164724888,0.0538814325782363
INVOS,Baseline vs T3,8,5,-1.75035010503501,0.618842214360421,0.0683641386005283,0.0683641386005283
