Device,NObservations,NSubjects,Intercept,InterceptSE,InterceptP,Slope,SlopeSE,SlopeP,ResidualVariance,RandomInterceptVariance,ICC
NIRSIT-X,38,8,22.9813287978647,2.74309381194833,5.61057074205505e-10,0.248177451594313,0.0319931877245987,3.42291048906042e-09,4.01510857091609,16.3346513615358,0.802695039929529
INVOS,37,8,7.37624166700947,5.47705035780216,0.186715853021525,0.25821260461586,0.0685814223981708,0.000612447373050308,20.1926064898321,22.5156655168519,0.527196827662055
